epoch,loss,mae,rmse,val_loss,val_mae,val_rmse,learning_rate
0,0.012864687480032444,0.0700262263417244,0.16822710633277893,0.011308715678751469,0.06638868153095245,0.15746168792247772,0.0003000000142492354
1,0.011390424333512783,0.06657508760690689,0.1579223871231079,0.010979962535202503,0.06697596609592438,0.15478986501693726,0.0003000000142492354
2,0.011063506826758385,0.06563344597816467,0.15545928478240967,0.010856718756258488,0.06625191867351532,0.15383218228816986,0.0003000000142492354
3,0.010896023362874985,0.06507091969251633,0.15417174994945526,0.010798279196023941,0.06629021465778351,0.15348537266254425,0.0003000000142492354
4,0.010736159048974514,0.06459668278694153,0.15297383069992065,0.010774550028145313,0.06268355250358582,0.15348051488399506,0.0003000000142492354
5,0.010594841092824936,0.06392083317041397,0.15193316340446472,0.010783275589346886,0.06367126852273941,0.15333425998687744,0.0003000000142492354
6,0.010478638112545013,0.06342783570289612,0.15107934176921844,0.010768676176667213,0.061817824840545654,0.15343505144119263,0.0003000000142492354
7,0.010226701386272907,0.062392935156822205,0.1492213010787964,0.010740932077169418,0.06381165981292725,0.15300609171390533,3.000000106112566e-05
8,0.010205182246863842,0.0624399334192276,0.14904579520225525,0.010738796554505825,0.06511064618825912,0.1529097855091095,3.000000106112566e-05
9,0.010149076581001282,0.062409091740846634,0.1486044079065323,0.010737590491771698,0.06436969339847565,0.15295089781284332,3.000000106112566e-05
10,0.010117284022271633,0.062445320188999176,0.14835010468959808,0.01074542012065649,0.06446390599012375,0.15298457443714142,3.000000106112566e-05
11,0.01007851306349039,0.06206352263689041,0.14807428419589996,0.010771190747618675,0.06544215977191925,0.15311935544013977,3.000000106112566e-05
12,0.010063144378364086,0.06256669014692307,0.14792849123477936,0.010760976001620293,0.06462869793176651,0.1530781090259552,3.000000106112566e-06
13,0.010015930980443954,0.06208261474967003,0.14758291840553284,0.01076915580779314,0.06464511156082153,0.1531330794095993,3.000000106112566e-06
14,0.010037986561655998,0.06201082468032837,0.14776457846164703,0.010763764381408691,0.0643569603562355,0.15311558544635773,3.000000106112566e-06
15,0.010046456940472126,0.06203267350792885,0.14782501757144928,0.010763452388346195,0.06429316848516464,0.15311399102210999,3.000000106112566e-06
16,0.010047782212495804,0.062055766582489014,0.1478411853313446,0.010763097554445267,0.06451316922903061,0.1531018167734146,3.000000106112566e-07
17,0.010028921999037266,0.06201835349202156,0.14769817888736725,0.010770535096526146,0.06452827155590057,0.1531500369310379,3.000000106112566e-07
